Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,162.899368,164.309448,156.749741,163.051178,163.051178,10657671161
2020-01-25,163.067291,163.227234,158.632477,161.283936,161.283936,8256956801
2020-01-26,161.176819,168.220322,160.281128,168.077103,168.077103,9261861589
2020-01-27,168.008850,172.922913,166.901093,170.930893,170.930893,11004476145
2020-01-28,170.884857,176.370316,170.738068,176.370316,176.370316,11772875063
2020-01-29,176.347885,178.842972,175.050339,175.050339,175.050339,10725267310
2020-01-30,174.917709,186.260483,172.374634,184.690475,184.690475,12604789338
2020-01-31,184.736908,185.405838,176.296814,180.160172,180.160172,11728616393
2020-02-01,180.113770,183.845551,179.745178,183.673950,183.673950,11569697182
2020-02-02,183.532501,193.080399,180.173950,188.617538,188.617538,14054425388
2020-02-03,188.607407,193.436890,188.012695,189.865067,189.865067,12392875241
2020-02-04,189.861725,191.111496,185.403625,189.250595,189.250595,11714191695
2020-02-05,189.299103,206.804001,188.752686,204.230240,204.230240,14865434434
2020-02-06,204.129700,214.597717,201.904068,212.339081,212.339081,16425589682
2020-02-07,212.315887,223.140930,212.304199,222.726059,222.726059,16673443564
2020-02-08,222.510971,226.588089,215.386292,223.146515,223.146515,16741203125
2020-02-09,222.982239,229.864243,222.982239,228.578568,228.578568,15031356241
2020-02-10,228.549133,229.184616,218.080048,223.522705,223.522705,16210008511
2020-02-11,223.384933,236.547134,218.617615,235.851196,235.851196,16964695963
2020-02-12,235.898224,272.398834,235.896271,265.406128,265.406128,24545049385
2020-02-13,265.052704,273.741058,258.922516,268.099243,268.099243,25801317504
2020-02-14,268.023285,285.056427,262.762512,284.217499,284.217499,23558253462
2020-02-15,284.561310,287.123688,264.279663,264.728577,264.728577,23682452994
2020-02-16,264.904053,272.882446,242.484406,259.894714,259.894714,25152366643
2020-02-17,259.890564,266.871246,244.335327,266.363434,266.363434,26024080088
2020-02-18,266.508820,283.196136,261.463898,281.944580,281.944580,26511477187
2020-02-19,282.036285,283.537933,259.763977,259.763977,259.763977,22679414412
2020-02-20,259.819855,263.695404,250.951263,257.949463,257.949463,23229828870
2020-02-21,257.891113,267.004852,255.689087,265.600616,265.600616,20867593292
